Latitude,Longtitude,State,LGA,Population,Number of households,Number of households offgrid,Number of people owning mobile phones,Number of households owning radios,Number of ABC1 consumers,Median annual household spending per capita,"Number of households spending over 110,000 N annually per capita","Number of households spending over 5,000 N monthly on energy","Number of households spending over 10,000 N monthly on energy","Number of households spending over 250,000 N annually on discretionary expenses",Number of households with generators,Number of households with televisions,Proportion of households offgrid,Proportion of people owning mobile phones,Proportion of households owning radios,Proportion of ABC1 consumers,"Proportion of households spending over 110,000 N annually per capita","Proportion of households spending over 5,000 N monthly on energy","Proportion of households spending over 10,000 N monthly on energy","Proportion of households spending over 250,000 N annually on discretionary expenses",Proportion of households with generators,Proportion of households with televisions
6.454166666,3.0875,Lagos,Badagry,  80 ,  18 ,  4 ,  76 ,  11 ,  23 ,"  156,317 ",  11 ,  7 ,  2 ,  11 ,  12 ,  9 ,21%,94%,60%,29%,60%,40%,12%,62%,65%,52%
6.429166666,2.854166667,Lagos,Badagry,  7 ,  2 ,  0 ,  6 ,  1 ,  2 ,"  174,783 ",  1 ,  1 ,  0 ,  1 ,  1 ,  1 ,26%,92%,59%,33%,69%,46%,10%,68%,62%,65%
6.437499999,2.820833334,Lagos,Badagry,  856 ,  192 ,  22 ,  802 ,  120 ,  310 ,"  162,590 ",  130 ,  73 ,  20 ,  123 ,  121 ,  122 ,11%,94%,63%,36%,68%,38%,10%,64%,63%,64%
6.420833333,2.845833334,Lagos,Badagry,  399 ,  90 ,  16 ,  376 ,  54 ,  132 ,"  169,761 ",  57 ,  37 ,  5 ,  56 ,  54 ,  61 ,17%,94%,60%,33%,63%,41%,6%,62%,60%,68%
6.470833333,3.0625,Lagos,Badagry,  674 ,  151 ,  14 ,  652 ,  96 ,  297 ,"  181,511 ",  123 ,  79 ,  7 ,  125 ,  115 ,  112 ,9%,97%,63%,44%,81%,52%,5%,83%,76%,74%
6.429166666,2.729166667,Lagos,Badagry,  317 ,  71 ,  8 ,  303 ,  47 ,  87 ,"  160,879 ",  45 ,  34 ,  1 ,  44 ,  52 ,  50 ,12%,96%,66%,27%,64%,48%,2%,62%,74%,70%
6.412499999,2.970833334,Lagos,Badagry,  141 ,  32 ,  6 ,  127 ,  20 ,  47 ,"  158,310 ",  20 ,  17 ,  2 ,  22 ,  21 ,  23 ,20%,90%,64%,33%,62%,52%,5%,71%,67%,72%
6.404166666,2.854166667,Lagos,Badagry,  135 ,  30 ,  5 ,  127 ,  19 ,  42 ,"  125,704 ",  18 ,  15 ,  2 ,  17 ,  23 ,  22 ,17%,94%,62%,31%,61%,51%,6%,58%,75%,73%
6.454166666,3.095833334,Lagos,Badagry,  15 ,  3 ,  1 ,  14 ,  2 ,  6 ,"  167,213 ",  2 ,  1 ,  0 ,  2 ,  2 ,  2 ,19%,95%,61%,39%,65%,42%,8%,64%,66%,57%
6.404166666,2.7875,Lagos,Badagry,  67 ,  15 ,  6 ,  62 ,  9 ,  17 ,"  102,253 ",  10 ,  7 ,  0 ,  9 ,  10 ,  11 ,43%,93%,61%,26%,68%,50%,2%,58%,64%,75%
